,Date,User,Tweet,retweetCount,likeCount,replyCount,followersCount,neg,neu,pos,compound,engagement,absolute intensity
0,2023-04-09 23:59:59+00:00,_hwazalea,shut the fuck up kpop is a genre of music. dont complain when you bait for song recs AND GET RESPONSES WITH SONG RECS STUPID,0,6,1,111,0.24,0.693,0.066,-0.7596,7,0.7596
1,2023-04-09 23:59:59+00:00,capt_chaeyoung,can someone put the Tokyo drift song for bg music https://t.co/xvkm8EmjuZ,0,0,0,538,0.0,1.0,0.0,0.0,0,0.0
2,2023-04-09 23:59:58+00:00,musicmediavault,Iayze producer Twentywrld has been exposed 😬 https://t.co/VY0WmUUTf9,0,0,1,263,0.346,0.654,0.0,-0.4019,1,0.4019
3,2023-04-09 23:59:58+00:00,musicmediavault,Summrs has spent over a half million dollars so far in 2023 https://t.co/CdINozyGev,0,0,0,263,0.0,1.0,0.0,0.0,0,0.0
4,2023-04-09 23:59:57+00:00,thecultofjennie,the greatest movie of ALL time🥱still holds to this day! unlike shitshank redemption and the flopfather 🤭,0,0,0,12,0.0,0.712,0.288,0.8268,0,0.8268
5,2023-04-09 23:59:57+00:00,Ferrankino,Fuck Giant Freaking Robot they suck,0,1,1,184,0.754,0.246,0.0,-0.8481,2,0.8481
6,2023-04-09 23:59:57+00:00,carjoel3000,@aImighty00 all that money just to still make mid music,0,0,0,5,0.0,1.0,0.0,0.0,0,0.0
7,2023-04-09 23:59:57+00:00,JL3811X,"@justartsndstuff There's a Korean movie that's based on his story
https://t.co/pKprQW1DBK",0,2,0,1751,0.0,1.0,0.0,0.0,2,0.0
8,2023-04-09 23:59:56+00:00,IceColdd_,"#ATTENTION ARTIST If you serious about getting in the game and want to shoot a video GET AT ME!!!!!  #PhantomFilms #Music #Movies #Studio Industry Quality, Professional sets /equipment. DM budget for quote #TTO #T_O_P 7",0,0,0,32876,0.128,0.838,0.034,-0.5526,0,0.5526
9,2023-04-09 23:59:56+00:00,DGTeddy_,There are 11 “Turn The Music Up” tabs in tonight’s shop! https://t.co/iGTK4WKnCj,0,1,0,109,0.0,1.0,0.0,0.0,1,0.0
